,Abs_570_A,Abs_690_A,Abs_570_B,Abs_690_B,Abs_570_C,Abs_690_C,Abs_570_D,Abs_690_D,Abs_570_E,Abs_690_E,Abs_570_F,Abs_690_F,Abs_570_G,Abs_690_G,Abs_570_H,Abs_690_H
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.337,0.068,0.364,0.078,0.318,0.069,0.313,0.074,0.348,0.073,0.343,0.071,0.553,0.074,0.383,0.078
5,0.323,0.062,0.346,0.07,0.332,0.07,0.319,0.065,0.327,0.068,0.354,0.069,0.562,0.072,0.378,0.075
6,0.356,0.069,0.371,0.082,0.367,0.074,0.353,0.069,0.363,0.073,0.362,0.076,0.555,0.073,0.375,0.079
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
